Year,Country,Happiness Score
2020,ghana,5.088
2019,ghana,5.14799976348877
2018,ghana,4.996
2017,ghana,4.657
2016,ghana,4.12
2015,ghana,4.276
2024,slovak republic,6.221
2023,greece,5.934
2022,greece,5.931
2021,greece,5.948
2020,greece,5.723
2019,greece,5.5149998664856
2018,greece,5.287
2017,greece,5.358
2016,greece,5.227
2015,greece,5.033
2024,latvia,6.207
2023,guatemala,6.287
2022,guatemala,6.15
2021,guatemala,6.262
2020,guatemala,6.435
2019,guatemala,6.39890003204346
2018,guatemala,6.436
2017,guatemala,6.382
2016,guatemala,6.454
2015,guatemala,6.324
2024,oman,6.197
2023,guinea,5.023
2022,guinea,5.072
2021,guinea,4.891
2020,guinea,4.984
2019,guinea,4.94929981231689
2018,guinea,4.534
2017,guinea,3.964
2016,guinea,3.507
2015,guinea,3.607
2020,haiti,3.615
2019,haiti,3.72079992294312
2018,haiti,3.597
2017,haiti,3.582
2016,haiti,3.603
2015,haiti,4.028
2024,uzbekistan,6.193
2023,honduras,5.968
2022,honduras,6.023
2021,honduras,6.022
2020,honduras,5.919
2019,honduras,5.95319986343384
2018,honduras,5.86
2017,honduras,5.504
2016,honduras,5.181
2015,honduras,4.871
2024,paraguay,6.172
2023,"hong kong sar, china",5.316
2022,"hong kong sar, china",5.308
2021,"hong kong sar, china",5.425
2020,"hong kong sar, china",5.477
2019,"hong kong sar, china",5.51039981842041
2018,"hong kong sar, china",5.43
2017,"hong kong sar, china",5.43
2016,"hong kong sar, china",5.472
2015,"hong kong sar, china",5.458
2024,japan,6.147
2023,hungary,6.017
2022,hungary,6.041
2021,hungary,6.086
2020,hungary,5.992
2019,hungary,6.00040006637573
2018,hungary,5.758
2017,hungary,5.62
2016,hungary,5.324
2015,hungary,5.145
2024,bosnia and herzegovina,6.136
2023,iceland,7.525
2022,iceland,7.53
2021,iceland,7.557
2020,iceland,7.554
2019,iceland,7.50449991226196
2018,iceland,7.494
2017,iceland,7.495
2016,iceland,7.504
2015,iceland,7.501
2024,philippines,6.107
2023,india,4.054
2022,india,4.036
2021,india,3.777
2020,india,3.819
2019,india,3.57329988479614
2018,india,4.015
2017,india,4.19
2016,india,4.315
2015,india,4.404
2024,"korea, rep.",6.038
2023,indonesia,5.568
2022,indonesia,5.277
2021,indonesia,5.24
2020,indonesia,5.345
2019,indonesia,5.28560018539429
2018,indonesia,5.192
2017,indonesia,5.093
2016,indonesia,5.262
2015,indonesia,5.314
2024,bahrain,6.03
2023,"iran, islamic rep.",4.923
2022,"iran, islamic rep.",4.876
2021,"iran, islamic rep.",4.888
2020,"iran, islamic rep.",4.721
2019,"iran, islamic rep.",4.67239999771118
2018,"iran, islamic rep.",4.548
2017,"iran, islamic rep.",4.707
2016,"iran, islamic rep.",4.692
2015,"iran, islamic rep.",4.813
2024,portugal,6.013
2023,iraq,5.166
2022,iraq,4.941
2021,iraq,4.941
2020,iraq,4.854
2019,iraq,4.78480005264282
2018,iraq,4.437
2017,iraq,4.456
2016,iraq,4.497
2015,iraq,4.575
2024,colombia,6.004
2023,ireland,6.838
2022,ireland,6.911
2021,ireland,7.041
2020,ireland,7.085
2019,ireland,7.09369993209839
2018,ireland,7.021
2017,ireland,6.977
2016,ireland,6.977
2015,ireland,6.907
2024,ecuador,5.965
2023,israel,7.341
2022,israel,7.473
2021,israel,7.364
2020,israel,7.157
2019,israel,7.12860012054443
2018,israel,7.139
2017,israel,7.19
2016,israel,7.213
2015,israel,7.267
2024,honduras,5.964
2023,italy,6.324
2022,italy,6.405
2021,italy,6.467
2020,italy,6.483
2019,italy,6.38740015029907
2018,italy,6.223
2017,italy,6.0
2016,italy,5.964
2015,italy,5.977
2024,malaysia,5.955
2023,jamaica,5.842
2022,jamaica,5.703
2021,jamaica,5.85
2020,jamaica,6.309
2019,jamaica,5.88980007171631
2018,jamaica,5.89
2017,jamaica,5.89
2016,jamaica,5.311
2015,jamaica,5.51
2024,peru,5.947
2023,japan,6.06
2022,japan,6.129
2021,japan,6.039
2020,japan,5.94
2019,japan,5.87080001831055
2018,japan,5.886
2017,japan,5.915
2016,japan,5.92
2015,japan,5.921
2024,russian federation,5.945
2023,jordan,4.186
2022,jordan,4.12
2021,jordan,4.152
2020,jordan,4.395
2019,jordan,4.63339996337891
2018,jordan,4.906
2017,jordan,5.161
2016,jordan,5.336
2015,jordan,5.303
2024,cyprus,5.942
2023,kazakhstan,6.188
2022,kazakhstan,6.144
2021,kazakhstan,6.234
2020,kazakhstan,6.152
2019,kazakhstan,6.05789995193481
2018,kazakhstan,5.809
2017,kazakhstan,5.79
2016,kazakhstan,5.819
2015,kazakhstan,5.919
2024,china,5.921
2023,kenya,4.47
2022,kenya,4.487
2021,kenya,4.543
2020,kenya,4.607
2019,kenya,4.58300018310547
2018,kenya,4.509
2017,kenya,4.41
2016,kenya,4.553
2015,kenya,4.356
2024,hungary,5.915
2023,kosovo,6.561
2022,kosovo,6.368
2021,kosovo,6.455
2020,kosovo,6.372
2019,kosovo,6.32520008087158
2018,kosovo,6.1
2017,kosovo,5.662
2016,kosovo,5.279
2015,kosovo,5.401
2024,trinidad and tobago,5.905
2023,kuwait,6.951
2021,kuwait,6.106
2020,kuwait,6.106
2019,kuwait,6.10209989547729
2018,kuwait,6.021
2017,kuwait,6.083
2016,kuwait,6.105
2015,kuwait,6.239
2024,montenegro,5.877
2023,kyrgyz republic,5.714
2022,kyrgyz republic,5.825
2021,kyrgyz republic,5.828
2020,kyrgyz republic,5.744
2019,kyrgyz republic,5.54150009155273
2018,kyrgyz republic,5.261
2017,kyrgyz republic,5.131
2016,kyrgyz republic,5.004
2015,kyrgyz republic,5.185
2024,croatia,5.87
2023,lao pdr,5.139
2022,lao pdr,5.111
2021,lao pdr,5.14
2020,lao pdr,5.03
2019,lao pdr,4.88859987258911
2018,lao pdr,4.796
2017,lao pdr,4.623
2015,lao pdr,4.876
2024,jamaica,5.87
2023,latvia,6.234
2022,latvia,6.213
2021,latvia,6.18
2020,latvia,6.032
2019,latvia,5.94999980926514
2018,latvia,5.94
2017,latvia,5.933
2016,latvia,5.85
2015,latvia,5.56
2024,bolivia,5.868
2023,lebanon,2.707
2022,lebanon,2.392
2021,lebanon,2.955
2020,lebanon,4.584
2019,lebanon,4.77150011062622
2018,lebanon,5.197
2017,lebanon,5.199
2016,lebanon,5.225
2015,lebanon,5.129
2024,kyrgyz republic,5.858
2023,lesotho,3.186
2021,lesotho,3.512
2020,lesotho,3.512
2019,lesotho,3.6528000831604
2018,lesotho,3.802
2017,lesotho,3.808
2016,lesotho,3.808
2024,dominican republic,5.846
2023,liberia,4.269
2022,liberia,4.042
2021,liberia,5.122
2020,liberia,4.625
2019,liberia,4.55789995193481
2018,liberia,3.975
2017,liberia,3.495
2016,liberia,3.533
2015,liberia,3.622
2024,mongolia,5.833
2023,libya,5.866
2021,libya,5.33
2020,libya,5.41
2019,libya,5.48880004882813
2018,libya,5.525
2017,libya,5.566
2016,libya,5.525
2015,libya,5.615
2024,mauritius,5.832
2023,lithuania,6.818
2022,lithuania,6.763
2021,lithuania,6.446
2020,lithuania,6.255
2019,lithuania,6.21549987792969
2018,lithuania,6.149
2017,lithuania,5.952
2016,lithuania,5.902
2015,lithuania,5.813
2024,libya,5.82
2023,luxembourg,7.122
2022,luxembourg,7.228
2021,luxembourg,7.404
2020,luxembourg,7.324
2019,luxembourg,7.23750019073486
2018,luxembourg,7.09
2017,luxembourg,6.91
2016,luxembourg,6.863
2015,luxembourg,6.871
2019,north macedonia,5.15980005264282
2024,moldova,5.819
2023,madagascar,4.228
2022,madagascar,4.019
2021,madagascar,4.339
2020,madagascar,4.208
2019,madagascar,4.16559982299805
2018,madagascar,3.933
2017,madagascar,3.774
2016,madagascar,3.644
2015,madagascar,3.695
2024,greece,5.776
2023,malawi,3.421
2022,malawi,3.495
2021,malawi,3.75
2020,malawi,3.6
2019,malawi,3.53800010681152
2018,malawi,3.41
2017,malawi,3.587
2016,malawi,3.97
2015,malawi,4.156
2024,"venezuela, rb",5.683
2023,malaysia,5.975
2022,malaysia,6.012
2021,malaysia,5.711
2020,malaysia,5.384
2019,malaysia,5.38430023193359
2018,malaysia,5.339
2017,malaysia,6.322
2016,malaysia,6.084
2015,malaysia,6.005
2020,maldives,5.198
2019,maldives,5.1975998878479
2024,indonesia,5.617
2023,mali,4.232
2022,mali,4.198
2021,mali,4.479
2020,mali,4.723
2019,mali,4.72930002212524
2018,mali,4.39
2017,mali,4.447
2016,mali,4.19
2015,mali,4.073
2024,algeria,5.571
2023,malta,6.346
2022,malta,6.3
2021,malta,6.447
2020,malta,6.602
2019,malta,6.77279996871948
2018,malta,6.726
2017,malta,6.627
2016,malta,6.527
2015,malta,6.488
2024,bulgaria,5.554
2023,mauritania,4.505
2022,mauritania,4.724
2021,mauritania,4.153
2020,mauritania,4.227
2019,mauritania,4.37459993362427
2018,mauritania,4.49
2017,mauritania,4.356
2016,mauritania,4.292
2015,mauritania,4.201
2024,north macedonia,5.503
2023,mauritius,5.816
2022,mauritius,5.902
2021,mauritius,6.071
2020,mauritius,6.049
2019,mauritius,6.10129976272583
2018,mauritius,5.888
2017,mauritius,5.891
2016,mauritius,5.629
2015,mauritius,5.648
2024,armenia,5.494
2023,mexico,6.678
2022,mexico,6.33
2021,mexico,6.128
2020,mexico,6.317
2019,mexico,6.46500015258789
2018,mexico,6.595
2017,mexico,6.488
2016,mexico,6.578
2015,mexico,6.778
2024,"hong kong sar, china",5.491
2023,mongolia,5.696
2022,mongolia,5.84
2021,mongolia,5.761
2020,mongolia,5.677
2019,mongolia,5.45620012283325
2018,mongolia,5.285
2017,mongolia,5.125
2016,mongolia,4.955
2015,mongolia,4.907
2024,albania,5.411
2023,montenegro,5.707
2022,montenegro,5.722
2021,montenegro,5.547
2020,montenegro,5.581
2019,montenegro,5.54610013961792
2018,montenegro,5.523
2017,montenegro,5.347
2016,montenegro,5.237
2015,montenegro,5.161
2024,tajikistan,5.411
2023,morocco,4.795
2022,morocco,4.903
2021,morocco,5.06
2020,morocco,4.918
2019,morocco,5.09479999542236
2018,morocco,5.208
2017,morocco,5.254
2016,morocco,5.235
2015,morocco,5.151
2024,georgia,5.4
2023,mozambique,5.216
2022,mozambique,4.954
2021,mozambique,5.048
2020,mozambique,4.794
2019,mozambique,4.62360000610352
2018,mozambique,4.466
2017,mozambique,4.417
2016,mozambique,4.55
2024,nepal,5.311
2023,myanmar,4.354
2022,myanmar,4.372
2021,myanmar,4.394
2020,myanmar,4.426
2019,myanmar,4.30800008773804
2018,myanmar,4.36
2017,myanmar,4.308
2016,myanmar,4.545
2015,myanmar,4.395
2024,lao pdr,5.301
2023,namibia,4.832
2022,namibia,4.631
2021,namibia,4.459
2020,namibia,4.574
2019,namibia,4.57110023498535
2018,namibia,4.639
2017,namibia,4.441
2016,namibia,4.574
2015,namibia,4.574
2024,turkiye,5.262
2023,nepal,5.158
2022,nepal,5.36
2021,nepal,5.377
2020,nepal,5.269
2019,nepal,5.13719987869263
2018,nepal,4.913
2017,nepal,4.88
2016,nepal,4.962
2015,nepal,4.793
2024,south africa,5.213
2023,netherlands,7.319
2022,netherlands,7.403
2021,netherlands,7.415
2020,netherlands,7.464
2019,netherlands,7.44890022277832
2018,netherlands,7.488
2017,netherlands,7.441
2016,netherlands,7.377
2015,netherlands,7.339
2024,mozambique,5.19
2023,new zealand,7.029
2022,new zealand,7.123
2021,new zealand,7.2
2020,new zealand,7.277
2019,new zealand,7.29960012435913
2018,new zealand,7.307
2017,new zealand,7.324
2016,new zealand,7.314
2015,new zealand,7.334
2024,gabon,5.12
2023,nicaragua,6.284
2022,nicaragua,6.259
2021,nicaragua,6.165
2020,nicaragua,5.972
2019,nicaragua,6.13710021972656
2018,nicaragua,6.105
2017,nicaragua,6.141
2016,nicaragua,6.071
2015,nicaragua,5.992
2024,cote d'ivoire,5.102
2023,niger,4.556
2022,niger,4.501
2021,niger,5.003
2020,niger,5.074
2019,niger,4.90959978103638
2018,niger,4.628
2017,niger,4.166
2016,niger,4.028
2015,niger,3.856
2024,"iran, islamic rep.",5.093
2023,nigeria,4.881
2022,nigeria,4.981
2021,nigeria,4.552
2020,nigeria,4.759
2019,nigeria,4.72410011291504
2018,nigeria,5.265
2017,nigeria,5.155
2016,nigeria,5.074
2015,nigeria,4.875
2021,cyprus,5.467
2020,cyprus,5.536
2019,cyprus,5.53550004959106
2018,cyprus,5.718
2017,cyprus,5.835
2016,cyprus,5.81
2015,cyprus,5.771
2024,"congo, dem. rep.",5.03
2023,north macedonia,5.369
2022,north macedonia,5.254
2021,north macedonia,5.199
2020,north macedonia,5.101
2018,north macedonia,5.274
2017,north macedonia,5.185
2016,north macedonia,5.175
2015,north macedonia,5.121
2024,iraq,4.976
2023,norway,7.302
2022,norway,7.315
2021,norway,7.365
2020,norway,7.392
2019,norway,7.48799991607666
2018,norway,7.554
2017,norway,7.594
2016,norway,7.537
2015,norway,7.498
2024,guinea,4.929
2024,namibia,4.911
2023,pakistan,4.657
2022,pakistan,4.555
2021,pakistan,4.516
2020,pakistan,4.934
2019,pakistan,5.69329977035522
2018,pakistan,5.653
2017,pakistan,5.472
2016,pakistan,5.269
2015,pakistan,5.132
2024,cameroon,4.887
2023,panama,6.358
2022,panama,6.265
2021,panama,6.309
2020,panama,6.18
2019,panama,6.30480003356934
2018,panama,6.321
2017,panama,6.43
2016,panama,6.452
2015,panama,6.701
2024,nigeria,4.885
2023,paraguay,5.977
2022,paraguay,5.738
2021,paraguay,5.578
2020,paraguay,5.653
2019,paraguay,5.69210004806519
2018,paraguay,5.743
2017,paraguay,5.681
2016,paraguay,5.493
2015,paraguay,5.538
2024,azerbaijan,4.875
2023,peru,5.841
2022,peru,5.526
2021,peru,5.559
2020,peru,5.84
2019,peru,5.79680013656616
2018,peru,5.697
2017,peru,5.663
2016,peru,5.715
2015,peru,5.743
2024,senegal,4.856
2023,philippines,6.048
2022,philippines,5.523
2021,philippines,5.904
2020,philippines,5.88
2019,philippines,6.00600004196167
2018,philippines,5.631
2017,philippines,5.524
2016,philippines,5.43
2015,philippines,5.279
2024,state of palestine,4.78
2023,poland,6.442
2022,poland,6.26
2021,poland,6.123
2020,poland,6.166
2019,poland,6.1862998008728
2018,poland,6.182
2017,poland,6.123
2016,poland,5.973
2015,poland,5.835
2024,pakistan,4.768
2023,portugal,6.03
2022,portugal,5.968
2021,portugal,6.016
2020,portugal,5.929
2019,portugal,5.9109001159668
2018,portugal,5.693
2017,portugal,5.41
2016,portugal,5.195
2015,portugal,5.123
2015,puerto rico,7.039
2018,qatar,6.374
2017,qatar,6.374
2016,qatar,6.375
2015,qatar,6.375
2024,niger,4.725
2023,"korea, rep.",6.058
2022,"korea, rep.",5.951
2021,"korea, rep.",5.935
2020,"korea, rep.",5.845
2019,"korea, rep.",5.87239980697632
2018,"korea, rep.",5.895
2017,"korea, rep.",5.875
2016,"korea, rep.",5.838
2015,"korea, rep.",5.835
2024,ukraine,4.68
2023,moldova,5.816
2022,moldova,5.819
2021,moldova,5.857
2020,moldova,5.766
2019,moldova,5.60750007629395
2018,moldova,5.529
2017,moldova,5.64
2016,moldova,5.838
2015,moldova,5.897
2024,morocco,4.622
2023,romania,6.491
2022,romania,6.589
2021,romania,6.477
2020,romania,6.14
2019,romania,6.12370014190674
2018,romania,6.07
2017,romania,5.945
2016,romania,5.825
2015,romania,5.528
2024,tunisia,4.552
2023,russian federation,5.785
2022,russian federation,5.661
2021,russian federation,5.459
2020,russian federation,5.477
2019,russian federation,5.5460000038147
2018,russian federation,5.648
2017,russian federation,5.81
2016,russian federation,5.963
2015,russian federation,5.856
2021,rwanda,3.268
2020,rwanda,3.415
2019,rwanda,3.31229996681213
2018,rwanda,3.334
2017,rwanda,3.408
2016,rwanda,3.471
2015,rwanda,3.515
2024,mauritania,4.542
2023,saudi arabia,6.594
2022,saudi arabia,6.463
2021,saudi arabia,6.523
